input,output
write linkedin post about consistency,Create a LinkedIn post with engaging tone, strong hook, and call-to-action about consistency and growth.
write a linkedin post on failure and learning,Generate a LinkedIn post highlighting lessons from failure with relatable tone and motivational ending.
create linkedin post about productivity tips,Write a structured LinkedIn post with practical productivity tips and engaging storytelling.
write linkedin content on self discipline,Create an impactful LinkedIn post explaining importance of self-discipline with real-life relevance.
linkedin post about career growth,Generate a professional LinkedIn post discussing career growth strategies with a clear CTA.
improve my resume project description,Create an ATS-friendly resume bullet highlighting project impact, skills, and measurable outcomes.
write resume bullet for web development project,Generate a concise resume point mentioning technologies used and key achievements.
improve resume for machine learning project,Create a professional resume bullet showcasing ML model performance and results.
resume point for internship work,Write a strong resume bullet with action verbs and quantified impact for internship experience.
resume bullet for backend project,Generate a resume point describing backend system design and performance improvements.
create ppt on cyber security basics,Generate a structured PPT outline with slide titles and bullet points on cyber security basics.
make presentation on artificial intelligence,Create a slide-wise PPT structure explaining AI concepts with examples.
ppt on data science introduction,Generate a clear presentation outline covering data science concepts and applications.
prepare slides for blockchain technology,Create PPT slides explaining blockchain fundamentals and real-world use cases.
presentation on cloud computing,Generate a structured PPT with key points on cloud computing services and benefits.
write email for internship application,Write a professional email requesting internship opportunity with proper format and tone.
email to HR for job follow up,Generate a polite follow-up email regarding job application status.
write email requesting leave,Create a formal leave request email with clear reason and respectful tone.
email for project submission,Write a professional email submitting project details with proper subject and closing.
email to professor for guidance,Generate a respectful email asking for academic guidance and support.
solve two sum problem in python,Provide a clear explanation and Python code solution for the two sum problem.
write code for binary search,Generate optimized binary search implementation with explanation and comments.
explain quicksort algorithm with code,Provide step-by-step explanation of quicksort along with clean code implementation.
write program for linked list in java,Generate a well-structured Java program for linked list with explanation.
optimize code for sorting array,Provide an efficient approach and improved code for sorting an array.
explain machine learning in simple terms,Explain machine learning concepts using simple language and real-life examples.
explain artificial intelligence basics,Provide a beginner-friendly explanation of AI with examples and applications.
what is data structure explain,Explain data structures clearly with types and examples.
explain operating system concepts,Provide structured explanation of OS concepts with key functions.
explain database management system,Explain DBMS concepts including advantages and use cases.
design web app for fraud detection,Design a web application with features, tech stack, and architecture for fraud detection system.
create website for online learning platform,Generate a complete web app design including frontend, backend, and features for e-learning.
build web app for hospital management,Design a system architecture and feature list for hospital management web app.
web app for expense tracking system,Create a detailed plan for expense tracking app including features and tech stack.
design social media web application,Generate a structured web app design with core features and scalable architecture.
how to build chatbot application,Provide step-by-step guidance to build a chatbot with tools and technologies.
steps to create portfolio website,Generate a structured guide to build a personal portfolio website.
guide to learn python programming,Provide a step-by-step roadmap to learn Python with resources and practice tips.
how to prepare for coding interviews,Create a structured plan to prepare for coding interviews with strategies and resources.
how to improve problem solving skills,Provide actionable steps to improve problem-solving and logical thinking skills.

write linkedin post about growth,Create a LinkedIn post with engaging tone, strong hook, and CTA about personal growth.
linkedin post on learning,Generate a LinkedIn post about continuous learning with relatable tone.
linkedin content about success habits,Write a LinkedIn post explaining success habits with motivational tone.
post about career improvement,Create a LinkedIn post discussing career improvement strategies.
linkedin post on self development,Generate a structured LinkedIn post on self-development with insights.